BLOCK_TIMESTAMP_HOUR,BLOCK_NUMBER_MIN,BLOCK_NUMBER_MAX,BLOCK_COUNT,TRANSACTION_COUNT,TRANSACTION_COUNT_SUCCESS,TRANSACTION_COUNT_FAILED,UNIQUE_SIGNERS_COUNT,TOTAL_FEES_NATIVE,TOTAL_FEES_USD,EZ_CORE_METRICS_HOURLY_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP
2020-10-08 22:00:00.000,40134369,40144129,8784,422615,386761,35854,11,2115975000,"null",b40505b5cbe2c477f543489c0518cb54,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 04:00:00.000,39954021,39964288,10008,206811,185942,20869,15,1036730000,"null",c3169791a2f99a55c882cacec04fed3c,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 18:00:00.000,40093767,40103882,9746,266335,239776,26559,46,1337435000,"null",8a9b42027a06d025a4f8bbf51ff7900a,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 16:00:00.000,40073808,40083612,9268,410947,366560,44387,15,2060485000,"null",452226cca8adaf5aca42541466040544,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 06:00:00.000,39974338,39984408,9749,287527,254512,33015,19,1442130000,"null",a803fa620a08440fcd535cafb759fe42,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 11:00:00.000,40024378,40034643,10068,225420,203775,21645,18,1130300000,"null",f4ceed2f4412563d9096d5065ec4a199,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 10:00:00.000,40255641,40265349,8943,405862,370542,35320,58,2036555000,"null",d14ee951bcfe5b1efeee1df51789d95a,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 05:00:00.000,40204813,40215125,9841,241926,218801,23125,17,1213190000,"null",f25b61398664e4f23e39115cb1ba3686,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 09:00:00.000,40245402,40255640,9836,235010,209900,25110,105,1179675000,"null",6918a87550e684ebe9bbf67448466c75,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 02:00:00.000,40173876,40184192,9999,220630,198869,21761,20,1105705000,"null",00a4d906be7f87375f40f2036941ca9f,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 16:00:00.000,40316502,40327127,10376,58558,58187,371,26,292995000,"null",f636a1280d9ebc1b50f824358a31d3b7,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 22:00:00.000,40379874,40390691,10581,45782,40848,4934,14,229700000,"null",a38c50a8279b19325f2c040638e3930c,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 14:00:00.000,40295148,40305934,10535,51108,50693,415,15,255830000,"null",cdffd8c73d93dac9c5f2beb42d042e79,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 17:00:00.000,40327128,40337839,10224,39973,39866,107,18,200155000,"null",408f94103aa715762992ac85f229f38e,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 03:00:00.000,40184193,40194550,9942,238126,214159,23967,26,1194215000,"null",5fd9cba88322746d2d647fad4f774b84,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 18:00:00.000,40337840,40348118,9848,257955,240208,17747,20,1303270000,"null",977110e6eec3afbbe3a698ae3a68735c,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 07:00:00.000,40225259,40235193,9369,321234,293070,28164,21,1610030000,"null",fea301b550243ebc5182acea7dfa6d5f,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 06:00:00.000,40215126,40225258,9564,291054,265938,25116,28,1460430000,"null",5113f3e305c861e5b300d6d369b7537c,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 08:00:00.000,40235194,40245401,9849,233844,210652,23192,73,1174005000,"null",9d3b2a404b787a5a34335e61406c17ab,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 13:00:00.000,40284626,40295147,10277,131704,119517,12187,13,661285000,"null",77c4e9eabea8150380d17c1bf37e8670,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 20:00:00.000,40358639,40369128,10061,115066,107340,7726,20,576610000,"null",d323895c7e1467a1f4ac3c25db15583d,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 12:00:00.000,40274858,40284625,9072,503979,442993,60986,23,2527705000,"null",edc6b718befbd0982a491e1e41f5ce65,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 04:00:00.000,40194551,40204812,9850,220596,199350,21246,21,1106555000,"null",92ebe79af3de381aa4516aad46922cd2,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 19:00:00.000,40348119,40358636,10197,150229,142002,8227,14,756035000,"null",9649cc31ccadede76e5ee43a84452574,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 21:00:00.000,40369129,40379873,10441,44148,38571,5577,22,221435000,"null",12956e2da7ffa63e033e7828efe41088,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 00:00:00.000,40153824,40163671,9149,402685,364460,38225,34,2017880000,"null",67b0d433a8e113df9dd21f8465bde18d,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 11:00:00.000,40265350,40274857,8454,569416,508652,60764,29,2861970000,"null",8ca444d1b1c8495f9e32f581f05a2cab,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 01:00:00.000,40163672,40173875,9914,255003,228013,26990,12,1277975000,"null",d2795144a2f4d396cb0ade9c8315a35f,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 15:00:00.000,40305935,40316501,10252,63146,62395,751,24,315975000,"null",2aa3a62e54ab49fc4b9a08905abd5e3c,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-09 23:00:00.000,40390692,40401334,10425,85840,76919,8921,14,430340000,"null",9f05c45b1e9ee3ebb840bd1706fac784,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-10 12:00:00.000,40525973,40536325,9927,254849,227437,27412,13,1277720000,"null",e4df074532fc5f4ecbbfbd1000b3f2f7,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
